,PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,Expenses,Group,DeckC,NumberC,SideC,SexW,Transported
0,0001_01,Europa,0.0,TRAPPIST-1e,39.0,0.0,0.0,1,B,0,P,0,0
1,0002_01,Earth,0.0,TRAPPIST-1e,24.0,0.0,736.0,2,F,0,S,1,1
2,0003_01,Europa,0.0,TRAPPIST-1e,58.0,1.0,10383.0,3,A,0,S,0,0
3,0003_02,Europa,0.0,TRAPPIST-1e,33.0,0.0,5176.0,3,A,0,S,0,0
4,0004_01,Earth,0.0,TRAPPIST-1e,16.0,0.0,1091.0,4,F,1,S,0,1
5,0005_01,Earth,0.0,PSO J318.5-22,44.0,0.0,774.0,5,F,0,P,0,1
6,0006_01,Earth,0.0,TRAPPIST-1e,26.0,0.0,1584.0,6,F,2,S,0,1
7,0006_02,Earth,1.0,TRAPPIST-1e,28.0,0.0,,6,G,0,S,1,1
8,0007_01,Earth,0.0,TRAPPIST-1e,35.0,0.0,1018.0,7,F,3,S,1,1
9,0008_01,Europa,1.0,55 Cancri e,14.0,0.0,0.0,8,B,1,P,0,1
10,0008_02,Europa,1.0,TRAPPIST-1e,34.0,0.0,,8,B,1,P,0,1
11,0008_03,Europa,0.0,55 Cancri e,45.0,0.0,8157.0,8,B,1,P,1,1
12,0009_01,Mars,0.0,TRAPPIST-1e,32.0,0.0,1309.0,9,F,1,P,0,1
13,0010_01,Earth,0.0,TRAPPIST-1e,48.0,0.0,809.0,10,G,1,S,0,0
14,0011_01,Earth,0.0,TRAPPIST-1e,28.0,0.0,1003.0,11,F,2,P,0,1
15,0012_01,Earth,0.0,TRAPPIST-1e,31.0,0.0,908.0,12,,,,0,0
16,0014_01,Mars,0.0,55 Cancri e,27.0,0.0,,14,F,3,P,0,0
17,0015_01,Earth,0.0,55 Cancri e,24.0,0.0,638.0,15,F,4,P,0,0
18,0016_01,Mars,1.0,TRAPPIST-1e,45.0,0.0,0.0,16,F,5,P,0,1
19,0017_01,Earth,0.0,TRAPPIST-1e,0.0,0.0,0.0,17,G,0,P,0,1
20,0017_02,Earth,0.0,55 Cancri e,14.0,0.0,1092.0,17,F,6,P,1,0
21,0020_01,Earth,1.0,TRAPPIST-1e,1.0,0.0,0.0,20,E,0,S,0,0
22,0020_02,Earth,1.0,55 Cancri e,49.0,0.0,0.0,20,E,0,S,0,0
23,0020_03,Earth,1.0,55 Cancri e,29.0,0.0,,20,E,0,S,0,0
24,0020_04,Earth,0.0,TRAPPIST-1e,10.0,0.0,0.0,20,E,0,S,0,1
25,0020_05,Earth,1.0,PSO J318.5-22,1.0,0.0,,20,E,0,S,0,0
26,0020_06,Earth,0.0,TRAPPIST-1e,7.0,0.0,0.0,20,E,0,S,1,0
27,0022_01,Mars,0.0,TRAPPIST-1e,21.0,0.0,1051.0,22,D,0,P,0,0
28,0024_01,Europa,1.0,TRAPPIST-1e,62.0,0.0,,24,C,2,S,0,1
29,0025_01,Earth,0.0,TRAPPIST-1e,15.0,0.0,1223.0,25,F,6,S,0,0
30,0026_01,Europa,0.0,55 Cancri e,34.0,0.0,7861.0,26,C,0,P,0,0
31,0028_01,Mars,0.0,TRAPPIST-1e,43.0,0.0,1309.0,28,F,8,P,0,0
32,0030_01,Earth,0.0,TRAPPIST-1e,32.0,0.0,1821.0,30,G,4,S,1,0
33,0031_01,Mars,0.0,TRAPPIST-1e,47.0,0.0,2854.0,31,F,9,P,0,1
34,0031_02,Mars,0.0,TRAPPIST-1e,2.0,0.0,0.0,31,F,9,P,0,1
35,0031_03,Mars,0.0,TRAPPIST-1e,20.0,0.0,,31,F,9,P,0,1
36,0034_01,Europa,1.0,55 Cancri e,28.0,0.0,0.0,34,D,1,S,1,1
37,0035_01,Mars,0.0,55 Cancri e,23.0,0.0,2699.0,35,D,1,P,0,0
38,0036_01,Earth,0.0,55 Cancri e,15.0,,961.0,36,F,8,S,1,0
39,0038_01,Earth,0.0,55 Cancri e,20.0,0.0,3355.0,38,F,10,S,0,0
40,0039_01,Earth,1.0,55 Cancri e,30.0,0.0,,39,G,1,P,0,0
41,0041_01,Earth,1.0,TRAPPIST-1e,17.0,0.0,0.0,41,G,2,P,1,1
42,0043_01,Europa,0.0,TRAPPIST-1e,45.0,0.0,3575.0,43,B,3,P,0,0
43,0044_01,Earth,1.0,TRAPPIST-1e,55.0,0.0,0.0,44,G,3,P,0,0
44,0044_02,Earth,1.0,55 Cancri e,4.0,0.0,0.0,44,G,3,P,0,1
45,0044_03,Earth,1.0,PSO J318.5-22,21.0,0.0,0.0,44,G,3,P,1,1
46,0045_01,Mars,0.0,TRAPPIST-1e,21.0,0.0,1214.0,45,F,10,P,0,0
47,0045_02,Mars,1.0,,19.0,0.0,0.0,45,F,10,P,0,1
48,0050_01,Earth,0.0,55 Cancri e,35.0,0.0,,50,E,1,S,0,0
49,0051_01,Earth,0.0,TRAPPIST-1e,56.0,0.0,1618.0,51,E,2,S,1,0
50,0052_01,Earth,0.0,TRAPPIST-1e,,0.0,4689.0,52,G,6,S,0,0
51,0053_01,Earth,0.0,TRAPPIST-1e,25.0,0.0,1939.0,53,F,11,S,0,1
52,0056_01,Europa,0.0,TRAPPIST-1e,2.0,0.0,0.0,56,A,1,S,0,1
53,0056_02,Europa,1.0,TRAPPIST-1e,38.0,0.0,0.0,56,A,1,S,0,1
54,0056_03,Europa,0.0,TRAPPIST-1e,27.0,0.0,4547.0,56,A,1,S,0,1
55,0058_01,Earth,1.0,PSO J318.5-22,36.0,0.0,0.0,58,G,7,S,0,0
56,0061_01,Earth,0.0,TRAPPIST-1e,22.0,0.0,2667.0,61,F,12,S,1,0
57,0062_01,Earth,0.0,TRAPPIST-1e,62.0,0.0,634.0,62,F,13,S,0,0
58,0064_01,Mars,1.0,TRAPPIST-1e,15.0,0.0,0.0,64,F,14,S,0,1
